Tag,N_district,N_neighbourhood,N_section,Distance_Center,POI_Daily_Food,POI_Daily_Others,POI_House_Equipment,POI_Clothing,POI_Culture,POI_Vehicles,POI_State_Agents,POI_Education,POI_Finances,POI_Restaurants_Hotels,POI_Health,POI_Souvenirs_Thrift_Store,POI_Car_Parks,POI_Esthetics,POI_Sports,POI_Religion,POI_Administration,Airbnb_Number,Airbnb_Price,Airbnb_Price_Person,Airbnb_Location_Score,Percentage_Gender_Female,Percentage_Age_0_14,Percentage_Age_15_24,Percentage_Age_25_39,Percentage_Age_40_64,Percentage_Age_65_Plus,Household,Education_None,Education_Primary_School,Education_Middle_School,Education_High_School,Education_University,Nationality_Spain,Nationality_Italy,Nationality_France,Nationality_UK,Nationality_Russia,Nationality_Germany,Nationality_Romania,Nationality_Ucrany,Nationality_Portugal,Nationality_Netherlands,Nationality_Poland,Nationality_Bulgaria,Nationality_Sweden,Nationality_Belgium,Nationality_Ireland,Nationality_Greece,Nationality_Morocco,Nationality_Argelia,Nationality_Senegal,Nationality_Colombia,Nationality_Honduras,Nationality_Peru,Nationality_Bolivia,Nationality_Venezuela,Nationality_Ecuador,Nationality_Argentina,Nationality_Brazil,Nationality_Dominican_Republic,Nationality_Mexico,Nationality_Paraguay,Nationality_Chile,Nationality_Cuba,Nationality_Uruguay,Nationality_China,Nationality_Pakistan,Nationality_Philippines,Nationality_India,Nationality_Bangladesh,Nationality_Georgia,Nationality_Armenia,Nationality_Japan,Nationality_Nepal,Nationality_Oceania,Rent_Number_Flats,Rent_Price_Meter_Flats,Rent_Price_Total_Flats,Rent_Area_Flats
01_001,01,01,001,1.532922421817333,6,1,0,0,2,0,0,4,0,33,2,8,1,1,1,1,4,55,88.69090909090909,26.678643578643584,9.738095238095237,0.45988112927191677,0.10921248142644874,0.1025260029717682,0.2897473997028232,0.2897473997028232,0.16567607726597325,2.47,0.022632020117351215,0.2564962279966471,0.22883487007544007,0.20284995808885165,0.2757753562447611,0.5676077265973254,0.04011887072808321,0.019316493313521546,0.01263001485884101,0.004457652303120356,0.01263001485884101,0.002228826151560178,0.0029717682020802376,0.010401188707280832,0.003714710252600297,0.005200594353640416,0.0007429420505200594,0.0029717682020802376,0.003714710252600297,0.0007429420505200594,0.0014858841010401188,0.01337295690936107,0.006686478454680535,0.0,0.004457652303120356,0.0029717682020802376,0.005943536404160475,0.0029717682020802376,0.0014858841010401188,0.003714710252600297,0.004457652303120356,0.007429420505200594,0.004457652303120356,0.0014858841010401188,0.0014858841010401188,0.0029717682020802376,0.002228826151560178,0.0,0.014858841010401188,0.05052005943536404,0.02674591381872214,0.05572065378900446,0.05572065378900446,0.0,0.0,0.003714710252600297,0.0007429420505200594,0.0007429420505200594,107.0,13.228132074136916,769.0,57.0
01_002,01,01,002,1.06077152220636,3,2,1,2,1,0,0,2,0,19,0,3,0,5,0,0,0,62,73.41935483870968,30.013440860215056,9.55813953488372,0.4590700720366732,0.11198428290766209,0.12246234446627374,0.26981008513425014,0.26981008513425014,0.14800261951538965,2.75,0.0378619153674833,0.3014105419450631,0.22939866369710468,0.18188567186340016,0.23533778767631774,0.444007858546169,0.038637851997380485,0.01899148657498363,0.016371971185330715,0.0032743942370661427,0.0091683038637852,0.006548788474132285,0.006548788474132285,0.005239030779305829,0.0032743942370661427,0.0019646365422396855,0.0013097576948264572,0.005893909626719057,0.0026195153896529143,0.0,0.0,0.01768172888015717,0.0006548788474132286,0.0019646365422396855,0.005893909626719057,0.003929273084479371,0.0032743942370661427,0.0045841519318926,0.0045841519318926,0.0032743942370661427,0.009823182711198428,0.005893909626719057,0.0019646365422396855,0.0045841519318926,0.0032743942370661427,0.0045841519318926,0.0019646365422396855,0.0006548788474132286,0.015717092337917484,0.09954158480681075,0.01899148657498363,0.04911591355599214,0.10216110019646366,0.0013097576948264572,0.0045841519318926,0.0006548788474132286,0.0006548788474132286,0.0006548788474132286,65.0,13.080018939393916,867.0,65.0
01_003,01,01,003,1.2622310685130482,9,3,1,2,3,0,0,5,2,20,3,1,2,3,1,0,1,32,53.40625,21.447916666666668,9.653846153846153,0.4622425629290618,0.21138443935926773,0.1066933638443936,0.28918764302059496,0.28918764302059496,0.11155606407322655,3.21,0.02317028319235013,0.3394630378815741,0.23170283192350127,0.17653549098933433,0.2048547260022067,0.539187643020595,0.02316933638443936,0.011441647597254004,0.008009153318077803,0.002860411899313501,0.002860411899313501,0.012585812356979404,0.003146453089244851,0.0017162471395881006,0.0005720823798627002,0.0014302059496567505,0.0017162471395881006,0.004004576659038902,0.0017162471395881006,0.0008581235697940503,0.0005720823798627002,0.036041189931350116,0.005148741418764302,0.003432494279176201,0.005148741418764302,0.004576659038901602,0.0037185354691075517,0.004576659038901602,0.002002288329519451,0.004576659038901602,0.006578947368421052,0.004004576659038902,0.005148741418764302,0.004290617848970252,0.0011441647597254005,0.003432494279176201,0.003432494279176201,0.0011441647597254005,0.02288329519450801,0.09324942791762014,0.031464530892448515,0.05577803203661327,0.04004576659038902,0.0005720823798627002,0.0008581235697940503,0.0008581235697940503,0.004862700228832952,0.0002860411899313501,164.0,14.0,700.0,50.0
01_004,01,01,004,1.1805171442360007,13,4,8,2,5,0,2,3,3,36,1,3,1,9,1,2,3,99,54.25252525252525,21.012626262626263,9.383561643835616,0.45669565217391306,0.12834782608695652,0.11165217391304348,0.3179130434782609,0.3179130434782609,0.10295652173913043,2.61,0.01818916734033953,0.2497978981406629,0.22756669361358126,0.19240097008892482,0.29830234438156833,0.5579130434782609,0.03617391304347826,0.013565217391304348,0.008,0.00591304347826087,0.009739130434782608,0.003130434782608696,0.0020869565217391303,0.0076521739130434785,0.003130434782608696,0.0038260869565217392,0.0020869565217391303,0.00591304347826087,0.0041739130434782605,0.0010434782608695651,0.0020869565217391303,0.034782608695652174,0.006260869565217392,0.0,0.009739130434782608,0.001391304347826087,0.004869565217391304,0.002434782608695652,0.005565217391304348,0.006608695652173913,0.006608695652173913,0.006956521739130435,0.001391304347826087,0.0052173913043478265,0.0010434782608695651,0.0038260869565217392,0.0020869565217391303,0.00034782608695652176,0.004869565217391304,0.08973913043478261,0.03582608695652174,0.01634782608695652,0.05217391304347826,0.0010434782608695651,0.00034782608695652176,0.001391304347826087,0.0010434782608695651,0.00034782608695652176,160.0,13.207547169811333,750.0,55.0
01_005,01,01,005,0.9374936109171081,20,4,2,2,38,0,0,0,1,42,1,15,1,11,0,0,2,136,64.13970588235294,23.38459383753501,9.559139784946236,0.45203252032520325,0.11951219512195121,0.0983739837398374,0.3308943089430894,0.3308943089430894,0.1402439024390244,2.59,0.026058631921824105,0.3113075849232201,0.23173569101907865,0.16845044206607723,0.2480223359702187,0.5101626016260162,0.042682926829268296,0.01951219512195122,0.015853658536585366,0.006097560975609756,0.0065040650406504065,0.01056910569105691,0.003658536585365854,0.005284552845528455,0.004878048780487805,0.0040650406504065045,0.0040650406504065045,0.0065040650406504065,0.0012195121951219512,0.0032520325203252032,0.002845528455284553,0.03414634146341464,0.0016260162601626016,0.0004065040650406504,0.004878048780487805,0.005691056910569106,0.002845528455284553,0.006097560975609756,0.006097560975609756,0.0065040650406504065,0.006097560975609756,0.007317073170731708,0.002845528455284553,0.002845528455284553,0.0024390243902439024,0.0032520325203252032,0.0004065040650406504,0.0024390243902439024,0.0004065040650406504,0.1073170731707317,0.02113821138211382,0.03780487804878049,0.046747967479674794,0.0032520325203252032,0.0016260162601626016,0.0,0.0004065040650406504,0.0,107.0,11.695733791402416,722.0,65.0
01_006,01,01,006,0.7876355702249526,13,4,3,12,12,0,0,1,1,29,1,9,1,5,0,2,0,74,62.58108108108108,22.170238095238094,9.574074074074074,0.43425076452599387,0.08685015290519878,0.1198776758409786,0.3204892966360856,0.3204892966360856,0.12048929663608562,2.64,0.017496635262449527,0.25168236877523553,0.2173620457604307,0.1917900403768506,0.30686406460296095,0.43241590214067277,0.054434250764525995,0.023853211009174313,0.01834862385321101,0.0024464831804281344,0.012232415902140673,0.011009174311926606,0.0030581039755351682,0.004892966360856269,0.005504587155963303,0.0012232415902140672,0.0030581039755351682,0.0061162079510703364,0.001834862385321101,0.003669724770642202,0.0030581039755351682,0.03547400611620795,0.009174311926605505,0.003669724770642202,0.01712538226299694,0.001834862385321101,0.0024464831804281344,0.004281345565749235,0.004892966360856269,0.0061162079510703364,0.009785932721712538,0.0061162079510703364,0.003669724770642202,0.007339449541284404,0.001834862385321101,0.011620795107033639,0.001834862385321101,0.0006116207951070336,0.00856269113149847,0.10275229357798166,0.05015290519877676,0.022629969418960245,0.04159021406727829,0.0,0.0,0.001834862385321101,0.0,0.001834862385321101,101.0,11.589157706093166,750.0,70.0
01_007,01,01,007,0.8758078615878302,8,7,3,7,7,0,1,1,0,32,1,0,1,2,0,2,2,76,67.23684210526316,22.256150793650793,9.264150943396226,0.3985872855701312,0.13874873864783047,0.09485368314833502,0.36881937436932394,0.36881937436932394,0.0681130171543895,2.91,0.010619469026548672,0.31622418879056047,0.24896755162241888,0.1705014749262537,0.2448377581120944,0.4853683148335015,0.026236125126135216,0.01564076690211907,0.014631685166498487,0.0030272452068617556,0.007063572149344097,0.010090817356205853,0.0015136226034308778,0.006559031281533804,0.0020181634712411706,0.0015136226034308778,0.005549949545913219,0.0025227043390514633,0.0010090817356205853,0.0005045408678102926,0.0,0.026236125126135216,0.012108980827447022,0.0005045408678102926,0.010090817356205853,0.0,0.004036326942482341,0.004540867810292634,0.0035317860746720484,0.0025227043390514633,0.004036326942482341,0.0020181634712411706,0.0025227043390514633,0.005045408678102927,0.0,0.007063572149344097,0.0005045408678102926,0.0005045408678102926,0.0025227043390514633,0.15590312815338042,0.034308779011099896,0.025227043390514632,0.08072653884964683,0.0,0.0020181634712411706,0.0005045408678102926,0.0,0.0,107.0,11.349005946640917,701.0,61.0
01_008,01,01,008,1.0338606297523858,7,2,2,0,1,0,1,2,0,11,0,0,1,7,1,2,0,52,76.36538461538461,23.260302197802194,8.974358974358974,0.3995765275257108,0.12825166364186327,0.12008469449485784,0.3254688445251059,0.3254688445251059,0.11312764670296431,3.17,0.016853932584269662,0.41537921348314605,0.25245786516853935,0.13834269662921347,0.15976123595505617,0.42740471869328495,0.020871143375680582,0.011796733212341199,0.006352087114337568,0.004839685420447671,0.007259528130671506,0.009074410163339383,0.007562008469449486,0.002117362371445856,0.002117362371445856,0.0024198427102238356,0.0006049606775559589,0.004234724742891712,0.0009074410163339383,0.0006049606775559589,0.0009074410163339383,0.03508771929824561,0.008771929824561403,0.0018148820326678765,0.005747126436781609,0.003327283726557774,0.0018148820326678765,0.006352087114337568,0.003327283726557774,0.00514216575922565,0.004234724742891712,0.003932244404113733,0.007259528130671506,0.0027223230490018148,0.0006049606775559589,0.003327283726557774,0.00030248033877797946,0.0009074410163339383,0.003932244404113733,0.20629159104658198,0.044162129461584994,0.0205686630369026,0.08711433756805807,0.0054446460980036296,0.002117362371445856,0.00030248033877797946,0.0024198427102238356,0.00030248033877797946,148.0,12.587837837837833,608.0,51.0
01_009,01,01,009,1.1119153909518362,9,0,1,2,2,0,0,2,1,12,2,2,0,7,2,1,0,34,48.6764705882353,24.426470588235293,9.15,0.44657168299198574,0.13757791629563668,0.11175422974176313,0.30365093499554763,0.30365093499554763,0.11754229741763135,2.78,0.017241379310344827,0.3103448275862069,0.2445141065830721,0.18286311389759666,0.22727272727272727,0.4804096170970614,0.02804986642920748,0.015138023152270703,0.007123775601068566,0.002226179875333927,0.006678539626001781,0.0017809439002671415,0.0004452359750667854,0.004007123775601068,0.0017809439002671415,0.0013357079252003562,0.0008904719501335708,0.002226179875333927,0.0013357079252003562,0.0,0.0013357079252003562,0.019590382902938557,0.0026714158504007124,0.0008904719501335708,0.008904719501335707,0.00578806767586821,0.003561887800534283,0.007123775601068566,0.0026714158504007124,0.004007123775601068,0.003561887800534283,0.00578806767586821,0.007569011576135352,0.0026714158504007124,0.003561887800534283,0.007123775601068566,0.0013357079252003562,0.0004452359750667854,0.004897595725734639,0.14381121994657167,0.05699020480854853,0.029385574354407838,0.10284951024042743,0.0004452359750667854,0.0,0.0,0.005342831700801425,0.0004452359750667854,143.0,13.492389769577251,689.0,55.0
01_010,01,01,010,0.9391767055845209,9,2,4,1,0,0,0,2,1,10,0,2,2,1,0,2,0,64,71.71875,24.68308531746032,8.94,0.4350143501435014,0.14514145141451415,0.11972119721197212,0.3107831078310783,0.3107831078310783,0.08815088150881509,2.98,0.015503875968992248,0.35707364341085274,0.250968992248062,0.1501937984496124,0.20833333333333334,0.42599425994259943,0.023780237802378024,0.015990159901599015,0.008610086100861008,0.0024600246002460025,0.004920049200492005,0.0036900369003690036,0.0012300123001230013,0.006970069700697007,0.004100041000410004,0.0016400164001640015,0.0004100041000410004,0.0016400164001640015,0.0004100041000410004,0.0008200082000820008,0.0012300123001230013,0.02132021320213202,0.0008200082000820008,0.0,0.003280032800328003,0.004100041000410004,0.002050020500205002,0.004100041000410004,0.002870028700287003,0.0024600246002460025,0.004510045100451004,0.003280032800328003,0.006560065600656006,0.003280032800328003,0.004510045100451004,0.0036900369003690036,0.0008200082000820008,0.0008200082000820008,0.0024600246002460025,0.15908159081590817,0.08815088150881509,0.01025010250102501,0.13120131201312013,0.0,0.0008200082000820008,0.0004100041000410004,0.002870028700287003,0.0,169.0,12.820758738277917,612.0,49.0
