Tag,N_district,N_neighbourhood,N_section,Distance_Center,POI_Daily_Food,POI_Daily_Others,POI_House_Equipment,POI_Clothing,POI_Culture,POI_Vehicles,POI_State_Agents,POI_Education,POI_Finances,POI_Restaurants_Hotels,POI_Health,POI_Souvenirs_Thrift_Store,POI_Car_Parks,POI_Esthetics,POI_Sports,POI_Religion,POI_Administration,Airbnb_Number,Airbnb_Price,Airbnb_Price_Person,Airbnb_Location_Score,Percentage_Gender_Female,Percentage_Age_0_14,Percentage_Age_15_24,Percentage_Age_25_39,Percentage_Age_40_64,Percentage_Age_65_Plus,Household,Education_None,Education_Primary_School,Education_Middle_School,Education_High_School,Education_University,Nationality_Spain,Nationality_Italy,Nationality_France,Nationality_UK,Nationality_Germany,Nationality_Romania,Nationality_Russia,Nationality_Portugal,Nationality_Ucrany,Nationality_Netherlands,Nationality_Poland,Nationality_Bulgaria,Nationality_Sweden,Nationality_Belgium,Nationality_Greece,Nationality_Ireland,Nationality_Morocco,Nationality_Argelia,Nationality_Senegal,Nationality_Colombia,Nationality_Honduras,Nationality_Peru,Nationality_Venezuela,Nationality_Bolivia,Nationality_Ecuador,Nationality_Argentina,Nationality_Brazil,Nationality_Dominican_Republic,Nationality_Mexico,Nationality_Chile,Nationality_Paraguay,Nationality_Cuba,Nationality_Uruguay,Nationality_China,Nationality_Pakistan,Nationality_Philippines,Nationality_India,Nationality_Bangladesh,Nationality_Georgia,Nationality_Armenia,Nationality_Japan,Nationality_Nepal,Nationality_Oceania
01_001,01,01,001,1.532922421817333,6,1,0,0,2,0,0,4,0,33,2,8,1,1,1,1,4,66,95.53030303030303,29.89381914381914,9.538461538461538,0.4489650249821556,0.11063526052819414,0.10206995003568879,0.2769450392576731,0.2769450392576731,0.15845824411134904,2.55,0.018638573743922204,0.23581847649918963,0.23743922204213938,0.20745542949756887,0.28768233387358183,0.5260528194147038,0.04925053533190578,0.019271948608137045,0.012134189864382585,0.01284796573875803,0.0028551034975017845,0.007137758743754461,0.012134189864382585,0.0035688793718772305,0.004282655246252677,0.0028551034975017845,0.0007137758743754461,0.0021413276231263384,0.0035688793718772305,0.0014275517487508922,0.0014275517487508922,0.01641684511063526,0.007851534618129907,0.0,0.0021413276231263384,0.0021413276231263384,0.004996431120628123,0.004282655246252677,0.0021413276231263384,0.0035688793718772305,0.010706638115631691,0.009992862241256246,0.0021413276231263384,0.0014275517487508922,0.0028551034975017845,0.0021413276231263384,0.0028551034975017845,0.0007137758743754461,0.012134189864382585,0.04853675945753034,0.02212705210563883,0.07423269093504639,0.06852248394004283,0.0,0.0,0.0,0.004282655246252677,0.0
01_002,01,01,002,1.06077152220636,3,2,1,2,1,0,0,2,0,19,0,3,0,5,0,0,0,70,82.44285714285714,30.001984126984123,9.563636363636364,0.46366559485530545,0.10868167202572347,0.11639871382636656,0.2707395498392283,0.2707395498392283,0.1459807073954984,2.78,0.030434782608695653,0.26304347826086955,0.23550724637681159,0.19057971014492753,0.2673913043478261,0.42958199356913185,0.04051446945337621,0.024437299035369776,0.02122186495176849,0.010289389067524116,0.0077170418006430866,0.003215434083601286,0.005144694533762058,0.00707395498392283,0.0038585209003215433,0.003215434083601286,0.0019292604501607716,0.00707395498392283,0.0012861736334405145,0.0,0.0019292604501607716,0.01929260450160772,0.0006430868167202572,0.0019292604501607716,0.01157556270096463,0.0038585209003215433,0.005144694533762058,0.003215434083601286,0.002572347266881029,0.005144694533762058,0.010289389067524116,0.0077170418006430866,0.003215434083601286,0.0090032154340836,0.002572347266881029,0.002572347266881029,0.0012861736334405145,0.0012861736334405145,0.019935691318327974,0.08938906752411575,0.022508038585209004,0.047588424437299034,0.09453376205787781,0.0012861736334405145,0.005144694533762058,0.0006430868167202572,0.003215434083601286,0.0006430868167202572
01_003,01,01,003,1.2622310685130482,9,3,1,2,3,0,0,5,2,20,3,1,2,3,1,0,1,41,52.19512195121951,23.79268292682927,9.555555555555555,0.464804469273743,0.2122905027932961,0.10865921787709497,0.2860335195530726,0.2860335195530726,0.10754189944134078,3.27,0.0208183776022972,0.32483847810480976,0.23223259152907394,0.17946877243359655,0.21536252692031588,0.520949720670391,0.025977653631284917,0.012849162011173185,0.008100558659217877,0.0033519553072625698,0.013687150837988826,0.0025139664804469273,0.0022346368715083797,0.0025139664804469273,0.0013966480446927375,0.0008379888268156424,0.0008379888268156424,0.005027932960893855,0.0013966480446927375,0.00027932960893854746,0.00027932960893854746,0.03966480446927374,0.004469273743016759,0.0036312849162011174,0.006145251396648044,0.004189944134078212,0.005027932960893855,0.003072625698324022,0.004189944134078212,0.004189944134078212,0.006145251396648044,0.005307262569832402,0.005307262569832402,0.003910614525139665,0.0036312849162011174,0.0016759776536312849,0.0019553072625698325,0.0013966480446927375,0.022905027932960894,0.08687150837988827,0.03687150837988827,0.058379888268156425,0.042458100558659215,0.0005586592178770949,0.0008379888268156424,0.0008379888268156424,0.003910614525139665,0.0
01_004,01,01,004,1.1805171442360007,13,4,8,2,5,0,2,3,3,36,1,3,1,9,1,2,3,123,64.52032520325203,24.210923990192285,9.4375,0.44768856447688565,0.1226972540841154,0.10844629822732013,0.3145637817170664,0.3145637817170664,0.10288494960027807,2.61,0.016813450760608487,0.23578863090472377,0.22457966373098479,0.20616493194555643,0.29503602882305846,0.5443169968717414,0.04692387904066736,0.012860618700034758,0.009732360097323601,0.01007994438651373,0.003475842891901286,0.006604101494612443,0.005561348627042058,0.0013903371567605145,0.004171011470281543,0.0038234271810914148,0.0013903371567605145,0.0045185957594716716,0.0031282586027111575,0.0024330900243309003,0.002780674313521029,0.03336809176225235,0.006604101494612443,0.0,0.0072992700729927005,0.0013903371567605145,0.0038234271810914148,0.0072992700729927005,0.0013903371567605145,0.005213764337851929,0.008689607229753215,0.009732360097323601,0.0003475842891901286,0.004866180048661801,0.005561348627042058,0.0010427528675703858,0.001737921445950643,0.0010427528675703858,0.0072992700729927005,0.08793882516510254,0.03614876607577337,0.016684045881126174,0.058046576294751476,0.0006951685783802572,0.0003475842891901286,0.0010427528675703858,0.0024330900243309003,0.0
01_005,01,01,005,0.9374936109171081,20,4,2,2,38,0,0,0,1,42,1,15,1,11,0,0,2,147,80.47619047619048,27.543742576395644,9.583333333333334,0.45117029862792574,0.11945117029862792,0.09483454398708636,0.3309120258272801,0.3309120258272801,0.1327683615819209,2.61,0.022191400832177532,0.29033749422098937,0.2297734627831715,0.17429496070272768,0.26768377253814146,0.4907183212267958,0.0516545601291364,0.018966908797417272,0.01735270379338176,0.00847457627118644,0.007667473769168685,0.006860371267150928,0.0036319612590799033,0.003228410008071025,0.004842615012106538,0.005649717514124294,0.0036319612590799033,0.005649717514124294,0.0008071025020177562,0.003228410008071025,0.0012106537530266344,0.03672316384180791,0.002824858757062147,0.0,0.005649717514124294,0.006860371267150928,0.0036319612590799033,0.005649717514124294,0.00645682001614205,0.00847457627118644,0.00887812752219532,0.006053268765133172,0.004842615012106538,0.0016142050040355124,0.002824858757062147,0.003228410008071025,0.0008071025020177562,0.002824858757062147,0.0016142050040355124,0.1033091202582728,0.025020177562550445,0.04116222760290557,0.03712671509281679,0.002824858757062147,0.0008071025020177562,0.0008071025020177562,0.0012106537530266344,0.0008071025020177562
01_006,01,01,006,0.7876355702249526,13,4,3,12,12,0,0,1,1,29,1,9,1,5,0,2,0,76,79.73684210526316,22.74260651629072,9.396825396825397,0.43665436654366546,0.08733087330873308,0.11808118081180811,0.33517835178351785,0.33517835178351785,0.11316113161131611,2.61,0.012236573759347382,0.2406526172671652,0.2168592794017675,0.20462270564242013,0.3086335825968729,0.4237392373923739,0.054735547355473556,0.022755227552275523,0.023370233702337023,0.014145141451414513,0.008610086100861008,0.005535055350553505,0.0036900369003690036,0.0024600246002460025,0.006150061500615006,0.0024600246002460025,0.003075030750307503,0.007380073800738007,0.0006150061500615006,0.0036900369003690036,0.003075030750307503,0.037515375153751536,0.010455104551045511,0.0036900369003690036,0.017220172201722016,0.004920049200492005,0.004305043050430504,0.004920049200492005,0.004305043050430504,0.004305043050430504,0.012300123001230012,0.006765067650676507,0.004920049200492005,0.006765067650676507,0.01107011070110701,0.0018450184501845018,0.0018450184501845018,0.0012300123001230013,0.007380073800738007,0.09348093480934809,0.046125461254612546,0.033210332103321034,0.05166051660516605,0.0006150061500615006,0.0006150061500615006,0.0012300123001230013,0.0,0.0012300123001230013
01_007,01,01,007,0.8758078615878302,8,7,3,7,7,0,1,1,0,32,1,0,1,2,0,2,2,103,68.3883495145631,24.539258745569423,9.240506329113924,0.3978819969742814,0.13514876449823499,0.09480584972264246,0.3600605143721634,0.3600605143721634,0.06959152798789713,2.85,0.00823045267489712,0.30158730158730157,0.25279247501469726,0.1746031746031746,0.25279247501469726,0.464952092788704,0.03530005042864347,0.019667170953101363,0.01059001512859304,0.0070600100857286935,0.01361573373676248,0.0035300050428643467,0.0045385779122541605,0.0030257186081694403,0.0030257186081694403,0.0025214321734745334,0.006051437216338881,0.0030257186081694403,0.0025214321734745334,0.0010085728693898135,0.0010085728693898135,0.024205748865355523,0.01059001512859304,0.0030257186081694403,0.013111447302067574,0.0005042864346949068,0.0015128593040847202,0.004034291477559254,0.006051437216338881,0.0030257186081694403,0.006555723651033787,0.0010085728693898135,0.002017145738779627,0.005042864346949067,0.005042864346949067,0.0015128593040847202,0.0005042864346949068,0.0015128593040847202,0.0025214321734745334,0.15481593545133637,0.030257186081694403,0.020171457387796268,0.08825012607160868,0.0005042864346949068,0.0010085728693898135,0.0005042864346949068,0.0,0.0
01_008,01,01,008,1.0338606297523858,7,2,2,0,1,0,1,2,0,11,0,0,1,7,1,2,0,72,91.23611111111111,28.593209876543206,8.916666666666666,0.3936106088004822,0.12718505123568416,0.12296564195298372,0.323086196503918,0.323086196503918,0.11362266425557564,3.18,0.013221990257480862,0.3917884481558803,0.2546972860125261,0.14961725817675714,0.1663187195546277,0.4177215189873418,0.02923447860156721,0.014767932489451477,0.009644364074743821,0.007836045810729355,0.007233273056057866,0.0039180229053646775,0.002109704641350211,0.008438818565400843,0.002109704641350211,0.003315250150693189,0.0003013863773357444,0.005726341169379144,0.0012055455093429777,0.0003013863773357444,0.0003013863773357444,0.028933092224231464,0.006931886678722122,0.0018083182640144665,0.0045207956600361665,0.0015069318866787222,0.0015069318866787222,0.0027124773960217,0.006630500301386378,0.0045207956600361665,0.006027727546714889,0.003616636528028933,0.008740204942736588,0.0024110910186859553,0.0024110910186859553,0.0009041591320072332,0.0009041591320072332,0.0003013863773357444,0.0039180229053646775,0.20403857745629897,0.042495479204339964,0.022905364677516575,0.08800482218203737,0.007233273056057866,0.0024110910186859553,0.0003013863773357444,0.0024110910186859553,0.0
01_009,01,01,009,1.1119153909518362,9,0,1,2,2,0,0,2,1,12,2,2,0,7,2,1,0,50,57.8,26.325,9.314285714285715,0.44161545215100967,0.13081650570676032,0.10842844600526778,0.310359964881475,0.310359964881475,0.11589113257243196,2.78,0.015816326530612244,0.3010204081632653,0.23826530612244898,0.18622448979591838,0.23622448979591837,0.4683933274802458,0.033362598770851626,0.015803336259877086,0.006584723441615452,0.007462686567164179,0.001755926251097454,0.003511852502194908,0.0030728709394205445,0.0013169446883230904,0.0026338893766461808,0.001755926251097454,0.0013169446883230904,0.001755926251097454,0.001755926251097454,0.0021949078138718174,0.0,0.019754170324846356,0.0021949078138718174,0.000877963125548727,0.01141352063213345,0.0030728709394205445,0.004389815627743635,0.003950834064969272,0.006584723441615452,0.0026338893766461808,0.007023705004389816,0.004828797190517998,0.010974539069359086,0.001755926251097454,0.007023705004389816,0.005706760316066725,0.0013169446883230904,0.0004389815627743635,0.006584723441615452,0.14398595258999122,0.05267778753292362,0.027216856892010536,0.09745390693590869,0.0004389815627743635,0.0,0.0004389815627743635,0.003950834064969272,0.0004389815627743635
01_010,01,01,010,0.9391767055845209,9,2,4,1,0,0,0,2,1,10,0,2,2,1,0,2,0,76,80.5657894736842,28.900449039264828,8.945454545454545,0.44080294961081523,0.14010651372388366,0.12044244162228594,0.31790249897582956,0.31790249897582956,0.08316263826300696,3.03,0.012937230474365118,0.3315764254911356,0.2582654528030666,0.16195495927168185,0.21705797795879253,0.4166325276526014,0.031544448996312986,0.016796394920114706,0.011470708725931995,0.006964358869315854,0.0028676771814829987,0.0024580090126997134,0.00819336337566571,0.0024580090126997134,0.004916018025399427,0.0032773453502662844,0.00040966816878328555,0.0024580090126997134,0.0008193363375665711,0.0012290045063498567,0.0008193363375665711,0.024580090126997134,0.0012290045063498567,0.0008193363375665711,0.0032773453502662844,0.007374027038099139,0.0008193363375665711,0.006964358869315854,0.0036870135190495697,0.0020483408439164277,0.005735354362965997,0.0036870135190495697,0.005735354362965997,0.0028676771814829987,0.0032773453502662844,0.0061450225317492835,0.0012290045063498567,0.0008193363375665711,0.004096681687832855,0.14625153625563295,0.08357230643179026,0.012699713232281851,0.12003277345350266,0.0,0.0008193363375665711,0.0008193363375665711,0.0020483408439164277,0.0
