Tag,N_district,N_neighbourhood,N_section,Distance_Center,POI_Daily_Food,POI_Daily_Others,POI_House_Equipment,POI_Clothing,POI_Culture,POI_Vehicles,POI_State_Agents,POI_Education,POI_Finances,POI_Restaurants_Hotels,POI_Health,POI_Souvenirs_Thrift_Store,POI_Car_Parks,POI_Esthetics,POI_Sports,POI_Religion,POI_Administration,Airbnb_Number,Airbnb_Price,Airbnb_Price_Person,Airbnb_Location_Score,Percentage_Gender_Female,Percentage_Age_0_14,Percentage_Age_15_24,Percentage_Age_25_39,Percentage_Age_40_64,Percentage_Age_65_Plus,Household,Education_Primary_School,Education_Middle_School,Education_High_School,Education_University,Nationality_Spain,Nationality_Italy,Nationality_France,Nationality_UK,Nationality_Russia,Nationality_Germany,Nationality_Romania,Nationality_Portugal,Nationality_Ucrany,Nationality_Poland,Nationality_Netherlands,Nationality_Bulgaria,Nationality_Sweden,Nationality_Belgium,Nationality_Ireland,Nationality_Greece,Nationality_Morocco,Nationality_Argelia,Nationality_Senegal,Nationality_Colombia,Nationality_Honduras,Nationality_Venezuela,Nationality_Peru,Nationality_Argentina,Nationality_Bolivia,Nationality_Brazil,Nationality_Ecuador,Nationality_Dominican_Republic,Nationality_Mexico,Nationality_Chile,Nationality_Paraguay,Nationality_Cuba,Nationality_Uruguay,Nationality_Pakistan,Nationality_China,Nationality_Philippines,Nationality_India,Nationality_Bangladesh,Nationality_Georgia,Nationality_Armenia,Nationality_Japan,Nationality_Nepal,Nationality_Oceania
01_001,01,01,001,1.532922421817333,6,1,0,0,2,0,0,4,0,33,2,8,1,1,1,1,4,65,87.27692307692308,27.03705738705739,9.63265306122449,0.45488441461595824,0.10887397464578673,0.0924683072334079,0.3422818791946309,0.28859060402684567,0.16778523489932887,2.45,0.2287636669470143,0.2396972245584525,0.1984861227922624,0.30613961312026916,0.5398956002982849,0.03877703206562267,0.01715137956748695,0.008948545861297539,0.008948545861297539,0.015659955257270694,0.0014914243102162564,0.011185682326621925,0.0022371364653243847,0.002982848620432513,0.005219985085756898,0.0007457121551081282,0.0014914243102162564,0.002982848620432513,0.0014914243102162564,0.0022371364653243847,0.019388516032811335,0.0037285607755406414,0.0007457121551081282,0.0037285607755406414,0.002982848620432513,0.0037285607755406414,0.002982848620432513,0.011931394481730051,0.0,0.006711409395973154,0.005219985085756898,0.0022371364653243847,0.0007457121551081282,0.0044742729306487695,0.0022371364653243847,0.0007457121551081282,0.0007457121551081282,0.05592841163310962,0.01267710663683818,0.01715137956748695,0.07829977628635347,0.05741983594332588,0.0,0.0,0.0007457121551081282,0.002982848620432513,0.0
01_002,01,01,002,1.06077152220636,3,2,1,2,1,0,0,2,0,19,0,3,0,5,0,0,0,70,68.95714285714286,25.574931972789116,9.693877551020408,0.4746666666666667,0.11333333333333333,0.12466666666666666,0.35333333333333333,0.26466666666666666,0.144,2.73,0.2488619119878604,0.251896813353566,0.18816388467374812,0.27617602427921095,0.424,0.048666666666666664,0.027333333333333334,0.017333333333333333,0.004,0.008666666666666666,0.006666666666666667,0.0026666666666666666,0.008666666666666666,0.0033333333333333335,0.005333333333333333,0.0013333333333333333,0.006666666666666667,0.0006666666666666666,0.0006666666666666666,0.0006666666666666666,0.021333333333333333,0.0006666666666666666,0.0026666666666666666,0.010666666666666666,0.004,0.0026666666666666666,0.006666666666666667,0.014,0.005333333333333333,0.009333333333333334,0.004,0.004,0.01,0.004666666666666667,0.0013333333333333333,0.0013333333333333333,0.0013333333333333333,0.08333333333333333,0.02266666666666667,0.025333333333333333,0.04,0.08333333333333333,0.005333333333333333,0.006,0.0,0.002,0.0006666666666666666
01_003,01,01,003,1.2622310685130482,9,3,1,2,3,0,0,5,2,20,3,1,2,3,1,0,1,40,52.225,21.874583333333334,9.533333333333333,0.44660719113273856,0.20410921870775886,0.14436334144363341,0.2738577994052447,0.27223573938902407,0.10543390105433902,3.41,0.31336565096952906,0.25242382271468145,0.1814404432132964,0.2067174515235457,0.5025682616923492,0.024871586915382535,0.012976480129764802,0.008650986753176534,0.003514463368477967,0.0016220600162206002,0.011624763449580968,0.0040551500405515,0.0008110300081103001,0.0008110300081103001,0.0016220600162206002,0.0010813733441470668,0.0040551500405515,0.0013517166801838335,0.0008110300081103001,0.0002703433360367667,0.06136793728034604,0.006758583400919167,0.004325493376588267,0.008921330089213302,0.004325493376588267,0.006758583400919167,0.005136523384698567,0.006758583400919167,0.003514463368477967,0.0040551500405515,0.0029737766964044337,0.004325493376588267,0.0032441200324412004,0.0029737766964044337,0.0021627466882941336,0.0013517166801838335,0.0010813733441470668,0.07488510408218438,0.020005406866720737,0.03541497702081644,0.07164098404974317,0.04028115706947824,0.0002703433360367667,0.0008110300081103001,0.0008110300081103001,0.0032441200324412004,0.0
01_004,01,01,004,1.1805171442360007,13,4,8,2,5,0,2,3,3,36,1,3,1,9,1,2,3,118,54.355932203389834,19.634392655367225,9.235294117647058,0.4551959114139693,0.12538330494037478,0.11073253833049404,0.35093696763202725,0.3114139693356048,0.10153321976149915,2.66,0.22344610542879623,0.23918174665617625,0.20967741935483872,0.2911093627065303,0.5257240204429302,0.04361158432708688,0.018739352640545145,0.010221465076660987,0.007836456558773424,0.01090289608177172,0.0030664395229982964,0.004770017035775128,0.001362862010221465,0.0034071550255536627,0.0034071550255536627,0.001362862010221465,0.0034071550255536627,0.00272572402044293,0.0010221465076660989,0.002385008517887564,0.03577512776831346,0.005792163543441226,0.0,0.01090289608177172,0.001362862010221465,0.007836456558773424,0.007495741056218058,0.011584327086882453,0.001362862010221465,0.009199318568994889,0.004429301533219762,0.0010221465076660989,0.004429301533219762,0.005792163543441226,0.0006814310051107325,0.0010221465076660989,0.001362862010221465,0.08381601362862011,0.010562180579216355,0.041908006814310055,0.019420783645655876,0.056899488926746164,0.0006814310051107325,0.00034071550255536625,0.0010221465076660989,0.001362862010221465,0.0
01_005,01,01,005,0.9374936109171081,20,4,2,2,38,0,0,0,1,42,1,15,1,11,0,0,2,132,68.03787878787878,25.084277296777298,9.584905660377359,0.46379238174968607,0.12013394725826705,0.10255336961071577,0.308915864378401,0.3390539974884889,0.12934282126412724,2.48,0.26862085535800095,0.22921672272945698,0.19029312830370015,0.27294569918308503,0.5085809962327333,0.04730012557555462,0.018836333193804938,0.019254918375889492,0.0054416073670992045,0.007115948095437421,0.007115948095437421,0.0050230221850146506,0.0029300962745918793,0.0058601925491837585,0.0058601925491837585,0.0037672666387609877,0.0050230221850146506,0.002092925910422771,0.0046044370029300966,0.002092925910422771,0.033486814566764334,0.0012557555462536626,0.0004185851820845542,0.009208874005860193,0.0054416073670992045,0.0050230221850146506,0.0046044370029300966,0.010046044370029301,0.004185851820845542,0.006697362913352867,0.006278777731268313,0.0037672666387609877,0.0016743407283382169,0.004185851820845542,0.0016743407283382169,0.0016743407283382169,0.0033486814566764337,0.10715780661364588,0.002092925910422771,0.020510673922143157,0.029300962745918795,0.034742570113018,0.004185851820845542,0.0016743407283382169,0.0004185851820845542,0.0012557555462536626,0.0008371703641691084
01_006,01,01,006,0.7876355702249526,13,4,3,12,12,0,0,1,1,29,1,9,1,5,0,2,0,61,64.73770491803279,22.008274785323966,9.25,0.427831715210356,0.09514563106796116,0.12750809061488674,0.3385113268608414,0.31974110032362457,0.11909385113268608,2.54,0.22501797268152407,0.24658519051042416,0.199137311286844,0.30050323508267435,0.4323624595469256,0.05307443365695793,0.02459546925566343,0.025889967637540454,0.008414239482200648,0.010355987055016181,0.008414239482200648,0.003883495145631068,0.007119741100323625,0.005177993527508091,0.005825242718446602,0.001941747572815534,0.005177993527508091,0.001941747572815534,0.004530744336569579,0.004530744336569579,0.037540453074433655,0.010355987055016181,0.001941747572815534,0.016181229773462782,0.003883495145631068,0.005177993527508091,0.003236245954692557,0.011003236245954692,0.003236245954692557,0.007119741100323625,0.005177993527508091,0.003883495145631068,0.007119741100323625,0.007766990291262136,0.0006472491909385113,0.001941747572815534,0.001941747572815534,0.07961165048543689,0.007766990291262136,0.04983818770226537,0.03365695792880259,0.062135922330097085,0.0006472491909385113,0.0,0.0012944983818770227,0.0,0.0006472491909385113
01_007,01,01,007,0.8758078615878302,8,7,3,7,7,0,1,1,0,32,1,0,1,2,0,2,2,104,68.23076923076923,22.41819291819292,9.329268292682928,0.40421263791374124,0.137913741223671,0.09277833500501505,0.34002006018054165,0.35606820461384153,0.0732196589769308,2.86,0.28112215078901226,0.2577440093512566,0.19111630625365283,0.24956165984804207,0.43981945837512537,0.043630892678034106,0.01805416248746239,0.012036108324974924,0.003510531594784353,0.008525576730190571,0.011534603811434303,0.003510531594784353,0.0020060180541624875,0.003510531594784353,0.003009027081243731,0.005516549648946841,0.003009027081243731,0.0020060180541624875,0.0025075225677031092,0.0015045135406218655,0.023069207622868605,0.009528585757271816,0.005516549648946841,0.012036108324974924,0.0,0.006018054162487462,0.0020060180541624875,0.012537612838515547,0.0050150451354062184,0.0020060180541624875,0.004012036108324975,0.0025075225677031092,0.007522567703109328,0.004012036108324975,0.0015045135406218655,0.0,0.0020060180541624875,0.17301905717151456,0.0015045135406218655,0.03009027081243731,0.018555667001003008,0.07723169508525576,0.0,0.0,0.0005015045135406219,0.0005015045135406219,0.0010030090270812437
01_008,01,01,008,1.0338606297523858,7,2,2,0,1,0,1,2,0,11,0,0,1,7,1,2,0,68,78.6470588235294,24.207481325863682,9.045454545454545,0.4042098840756559,0.1354484441732764,0.11439902379499695,0.3075045759609518,0.32519829164124464,0.1174496644295302,3.13,0.3712148200926256,0.27467046669041684,0.1553259707873174,0.16636978981118633,0.4225137278828554,0.03050640634533252,0.015558267236119585,0.009762050030506406,0.002745576571079927,0.00762660158633313,0.006406345332519829,0.0012202562538133007,0.010067114093959731,0.0036607687614399025,0.0021354484441732766,0.0012202562538133007,0.003050640634533252,0.0009151921903599756,0.001525320317266626,0.0003050640634533252,0.02989627821842587,0.00762660158633313,0.0021354484441732766,0.004575960951799878,0.002745576571079927,0.007321537522879805,0.0021354484441732766,0.007931665649786455,0.00762660158633313,0.003050640634533252,0.004270896888346553,0.006711409395973154,0.0018303843807199512,0.001525320317266626,0.0009151921903599756,0.0012202562538133007,0.0003050640634533252,0.19463087248322147,0.0036607687614399025,0.044539353264185476,0.017693715680292862,0.08938377059182429,0.007321537522879805,0.0024405125076266015,0.0003050640634533252,0.001525320317266626,0.0
01_009,01,01,009,1.1119153909518362,9,0,1,2,2,0,0,2,1,12,2,2,0,7,2,1,0,43,82.95348837209302,35.281007751937985,9.266666666666667,0.45006657789613846,0.1384820239680426,0.09320905459387484,0.3288948069241012,0.3280071016422548,0.1114070128717266,2.69,0.2769151138716356,0.2406832298136646,0.18115942028985507,0.2665631469979296,0.46870838881491345,0.03462050599201065,0.014203284509542832,0.011096316023080338,0.002663115845539281,0.006213936972924989,0.003550821127385708,0.004882379050155349,0.001775410563692854,0.001775410563692854,0.0022192632046160675,0.0004438526409232135,0.0004438526409232135,0.002663115845539281,0.0004438526409232135,0.0013315579227696406,0.02174877940523746,0.002663115845539281,0.0013315579227696406,0.010208610741233911,0.0039946737683089215,0.0022192632046160675,0.0039946737683089215,0.009320905459387484,0.007101642254771416,0.007101642254771416,0.001775410563692854,0.007101642254771416,0.0022192632046160675,0.008433200177541057,0.00887705281846427,0.0013315579227696406,0.000887705281846427,0.13759431868619618,0.007545494895694629,0.05415002219263205,0.02574345317354638,0.09010208610741234,0.0004438526409232135,0.0,0.0,0.003550821127385708,0.0
01_010,01,01,010,0.9391767055845209,9,2,4,1,0,0,0,2,1,10,0,2,2,1,0,2,0,69,76.73913043478261,27.285932827237165,8.952380952380953,0.4485444854448544,0.14391143911439114,0.12136121361213612,0.3280032800328003,0.3255432554325543,0.08118081180811808,3.01,0.31376323387872956,0.2776708373435996,0.17276227141482195,0.21126082771896054,0.4059040590405904,0.03280032800328003,0.015990159901599015,0.015170151701517014,0.0016400164001640015,0.004920049200492005,0.006150061500615006,0.004510045100451004,0.002050020500205002,0.002870028700287003,0.005740057400574006,0.0004100041000410004,0.0016400164001640015,0.0012300123001230013,0.0012300123001230013,0.0004100041000410004,0.024600246002460024,0.0004100041000410004,0.0,0.003280032800328003,0.006150061500615006,0.009020090200902008,0.002050020500205002,0.007380073800738007,0.004100041000410004,0.005740057400574006,0.002050020500205002,0.005330053300533005,0.0036900369003690036,0.003280032800328003,0.005330053300533005,0.0012300123001230013,0.0,0.15375153751537515,0.002050020500205002,0.09020090200902009,0.01107011070110701,0.11152111521115211,0.0,0.0008200082000820008,0.0008200082000820008,0.0036900369003690036,0.0004100041000410004
