Tag,Distance_Center,Nationality_Italy,Nationality_Spain,Education_University,Nationality_UK,POI_Restaurants_Hotels,Percentage_Age_0_14,Percentage_Age_65_Plus,POI_Education,Intercept
01_001,,,,,,0.29621822388383245,,,,
01_002,,,,,,0.284465976474495,,,,
01_003,,,,,,0.27004442081607505,,,,
01_004,,,,,,0.2546325581182739,,,,
01_005,,,,,,0.2789087141568785,,,,
01_006,,,,,,0.2745584217159872,,,,
01_007,,,,,,0.26087531342784,,,,
01_008,,,,,,0.2494134027858327,,,,
01_009,,,,,,0.2399247084759205,,,,
01_010,,,,,,0.24489442664441163,,,,
01_011,,,,,,0.23947986885478523,,,,
01_012,,,,,,0.23769753338273486,,,,
01_013,,,,,,0.24118582054628493,,,,
01_014,,,,,,0.2438396623297692,,,,
01_015,,,,,,0.23904707187765292,,,,
01_016,,,,,,0.24076199796696862,,,,
01_017,,,,,,0.24251866600829255,,,,
01_018,,,,,,0.24829493635215635,,,,
01_019,,,,,,0.2664917868126964,,,,
01_020,,,,,,0.2632051293596325,,,,
01_021,,,,,,0.2557623738710496,,,,
01_022,,,,,,0.2942213114909753,,,,
01_023,,,,,,0.3151379228299142,,,,
01_025,,,,,,0.3193358251682433,,,,
01_026,,,,,,0.33169950201969656,,,,
01_027,,,,,,0.32015688818752497,,,,
01_028,,,,,,0.2960184113626429,,,,
01_029,,,,,,0.3031276299748124,,,,
01_030,,,,,,0.3190197567516527,,,,
01_031,,,,,,0.3231977815589485,,,,
01_032,,,,,,0.3246546392368601,,,,
01_033,,,,,,0.3341522866248182,,,,
01_034,,,,,,0.3337970522233711,,,,
01_035,,,,,,0.33258906889387363,,,,0.33134079065728983
01_036,,,,,,0.3236092638170227,,,,0.31239728589906846
01_037,,,,,,0.3352889060090839,,,,0.3369521196005657
01_038,,,,,,0.3352916276617321,,,,
01_039,,,,,,0.3356221055240674,,,,
01_040,,,,,,0.3367377457269905,,,,
01_041,,,,,,0.3375529882061184,,,,0.3442787022192898
01_042,,,,,,0.338061949108213,,,,0.34335704753988017
01_043,,,,,,0.33633290315010944,,,,0.3426560109917097
01_044,,,,,,0.34309472273577984,,,,0.38770769487406115
01_045,,,,,,0.3431021910367241,,,,0.4020375001688571
01_046,,,,,,0.33885195438630966,,,,0.40445819329608224
01_047,,,,,,0.3362827298354656,,,,0.42547300951593786
01_048,,,,,,0.34241659378816675,,,,0.42624411820860064
01_049,,,,,,0.3354995418593202,,,,0.4398463488549247
01_050,,,,,,0.3329060219060595,,,,0.4477802609500978
01_051,,,,,,0.33934086239951056,,,,0.45154519713878616
01_052,,,,,,0.3357123384162221,,,,0.46553026459679786
01_053,,,,,,0.3415373517373327,,,,0.43302700379953657
01_054,,,,,,0.341579036594937,,,,0.41298470957105576
01_055,,,,,,0.33569226173398636,,,,0.38994430740081454
02_001,,,,,,0.32131499288167,,,,0.32634539330449946
02_002,,,,,,0.31759581734497605,,,,0.349134687638335
02_003,,,,,,0.3125592037246112,,,,0.28580079366920147
02_004,,,,,,0.30947909863602896,,,,0.290238636048792
02_005,,,,,,0.31290160050014965,,,,0.34140741792436885
02_006,,,,,,0.3207253703256326,,,,0.40735811999711763
02_007,,,,,,0.31322179149268026,,,,0.38307152038600634
02_008,,,,,,0.3070261442213241,,,,0.30177737013142225
02_009,,,,,,0.30623550633628327,,,,0.2589895909878895
02_010,,,,,,0.304612849004155,,,,0.2211702274288097
02_011,,,,,,0.3074010871027463,,,,0.23639283204143663
02_012,,,,,,0.309792331882626,,,,0.25482766366621284
02_013,,,,,,0.30781901992974897,,,,0.19434070093783556
02_014,-0.31056056164693624,,,,,0.3054148363233081,,,,
02_015,,,,,,0.3003685428927611,,,,0.17088961918821266
02_016,,,,,,0.2984042353958005,,,,0.2291254663161918
02_017,,,,,,0.2999215028409824,,,,0.2965246916786873
02_018,,,,,,0.28663288397906145,,,,0.26142330323256296
02_019,,,,,,0.28978251330874183,,,,0.23901874112455596
02_020,,,,,,0.29093053389275497,,,,0.19627161160774653
02_021,-0.33158098484536425,,,,,0.2960811836871,,,,
02_022,-0.38402512438974923,,,,,0.3035377390566497,,,,
02_023,-0.38397478092026427,,,,,0.29667307276586397,,,,
02_024,-0.3187994660698596,,,,,0.2847851103724569,,,,
02_025,-0.3771782204470164,,,,,0.28201699805455355,,,,
02_026,-0.36220274550482107,,,,,0.27125665282816064,,,,
02_027,-0.4042376090860979,,,,,0.24902475994489048,-0.1640401392847782,,,
02_028,-0.41002422101070296,,,,,0.26949422534624506,,,,
02_029,-0.40759847648010594,,,,,0.28651044694971517,,,,
02_030,-0.44594355696129273,,,,,0.29115118189532824,,,,
02_031,-0.46444959165348576,,,,,0.2786755403752169,,,,
02_032,-0.4608630007491223,,,,,0.26026006338168595,,,,
02_033,-0.45548313950988467,,,,,0.23731599796300062,,,,
02_034,-0.43262204233701385,,,,,0.23223314619241514,-0.1675530281408383,,,
02_035,-0.4097348676686914,,,,,0.2299202604276885,-0.1828186790079408,,,
02_036,-0.43305776763187764,,,,,0.2126424442017643,-0.18061175880751018,,,
02_037,-0.46088207199629233,,,,,0.2154244758671353,,,,
02_038,-0.4876667370012368,,,,,0.22318556382941154,,,,
02_039,-0.4532578465187641,,,,,0.19466149397954724,-0.16808031633424347,,,
02_040,-0.4749565338885727,,,,,0.1779663011643,,,,
02_041,-0.44061484422487035,,,,,0.17340465057166526,-0.1799703204774367,,,
02_042,-0.414253177353808,,,,,0.18594380586759432,-0.1964942125840378,,,
02_043,-0.38630738754680244,,,,,0.2018852117196208,-0.19889969604122817,,,
02_044,-0.389566184364746,,,,,0.21152009443606531,-0.1998188200405061,,,
02_045,-0.40710797285829725,,,,,0.2036827566338993,-0.19967456847046325,,,
02_046,-0.42628404729293623,,,,,0.19352037181620257,-0.1908927650213449,,,
02_047,-0.4073405108223017,,,,,0.21497020455108323,-0.1970013091776756,,,
02_048,-0.38424465999911833,,,,,0.22557825211670832,-0.20102317825420435,,,
02_049,-0.3710756096777358,,,,,0.24247599806864417,-0.1904048386794933,,,
02_050,-0.33962064046499785,,,,,0.2687020689053719,-0.15671044011407914,,,
02_051,,,,,,0.27095392526888445,-0.16185173031695466,,,
02_052,,,,,,0.2682804587747445,-0.1711716186839446,,,
02_053,,,,,,0.2706182056547585,-0.17161813004370396,,,
02_054,-0.3379982765355351,,,,,0.2501782722306804,-0.19459527850351763,,,
02_055,,,,,,0.257404352500016,-0.18241334496232273,,,
02_056,,,,,,0.27246327094953304,-0.16721038539135985,,,
02_057,,,,,,0.25797151500975524,,,,
02_058,,,,,,0.228865946837425,,,,
02_059,,,,,,0.21206233470948263,,,,
02_060,,,,,,0.23727492994865831,,,,
