Tag,Distance_Center,Nationality_Spain,Education_University,Nationality_Italy,Nationality_UK,POI_Restaurants_Hotels,Percentage_Age_65_Plus,Percentage_Age_0_14,POI_Clothing,POI_Daily_Others,Intercept
01_001,,,,,,0.29093655377293637,,,,,0.5875646035397546
01_002,,,,,,0.2900090157820402,,,,,
01_003,,,,,,0.28319867706964386,,,,,
01_004,,,,,,0.2790359937154857,,,,,
01_005,,,,,,0.28968045363553935,,,,,
01_006,,,,,,0.29128464802982007,,,,,
01_007,,,,,,0.28344389736525943,,,,,
01_008,,,,,,0.27767733934968963,,,,,
01_009,,,,,,0.2728566459573341,,,,,
01_010,,,,,,0.27677194155853524,,,,,
01_011,,,,,,0.27261267149816376,,,,,
01_012,,,,,,0.2689784484072355,,,,,
01_013,,,,,,0.2748765158014075,,,,,
01_014,,,,,,0.2778593549745148,,,,,
01_015,,,,,,0.27061044895632064,,,,,
01_016,,,,,,0.27304970751115887,,,,,
01_017,,,,,,0.2761384105767233,,,,,
01_018,,,,,,0.2846522375433127,,,,,
01_019,,,,,,0.29177208182980574,,,,,
01_020,,,,,,0.29957088082354677,,,,,
01_021,,,,,,0.2962592098515698,,,,,
01_022,,,,,,0.3260759303734733,,,,,
01_023,,,,,,0.3390444018106057,,,,,
01_025,,,,,,0.3228020140937663,,,,,
01_026,,,,,,0.32067919834309255,,,,,0.5927345122368193
01_027,,,,,,0.31295605235279844,,,,,0.5755026388991612
01_028,,,,,,0.3090203723723918,,,,,
01_029,,,,,,0.3031897704260374,,,,,
01_030,,,,,,0.30404599215768807,,,,,0.6024190833767573
01_031,,,,,,0.3110437913320405,,,,,0.5943288816660215
01_032,,,,,,0.30134748419624324,,,,,0.6102584589377025
01_033,,,,,,0.312263719656604,,,,,0.5703722351149176
01_034,,-0.35979187198749396,,,,0.3081247801172456,,,,,0.5411331736408731
01_035,,-0.369904206431979,,,,0.3076349461311356,,,,,0.5276917741571905
01_036,,-0.38590701308771636,0.26615223770585855,,,0.29064102536146763,,,,,0.4628288925308287
01_037,,-0.35718244444233493,,,,0.31290770297405957,,,,,0.5301189096470524
01_038,,-0.35673891410443326,,,,0.3107121565098597,,,,,0.5376031536438679
01_039,,,,,,0.3136437932067265,,,,,0.5503068690941998
01_040,,,,,,0.3155563099660626,,,,,0.5685658384848079
01_041,,,,,,0.31684566839275574,,,,,0.5475245663325493
01_042,,,,,,0.3174347931739647,,,,,0.5347507701827268
01_043,,-0.35010807680235057,,,,0.31294316780330733,,,,,0.49312696090055413
01_044,,,,,,0.3272414388157877,,,,,0.5591406077186734
01_045,,,,,,0.3291133864159317,,,,,0.5902010186100936
01_046,,,,,,0.3256871496841268,,,,,0.598118108250032
01_047,,,,,,0.3318983467019352,,,,,0.5811520020238601
01_048,,,,,,0.3338050582761187,,,,,0.5800714179105803
01_049,,,,,,0.3373967760587254,,,,,0.5729209245295486
01_050,,,,,,0.34275279418987065,,,,,0.5662327485483021
01_051,,,,,,0.338877042289452,,,,,0.5683701951238886
01_052,,,,,,0.344197055981588,,,,,0.5674272884373791
01_053,,,,,,0.33317133006792443,,,,,0.5607846006700887
01_054,,,,,,0.3310594707309892,,,,,0.5605975118496138
01_055,,,,,,0.31988394277470017,,,,,0.5099455081301598
02_001,,-0.3388385353746378,,,,0.30219686650047406,,,,,0.4171761617488518
02_002,,,,,,0.31130647314790233,,,,,0.43511636601085857
02_003,,-0.3473214476191164,0.2747090295917197,,,0.2998618444152895,,,,,0.3636903991264435
02_004,,-0.3234877938345056,,,,0.30410540741411385,,,,,0.37465570765418227
02_005,,,,,,0.31346597592951436,,,,,0.43368264955001323
02_006,,,,,,0.3268669027139063,,,,,0.49546735784592133
02_007,,,,,,0.31636793459860535,,,,,0.45099408698016596
02_008,,,,,,0.3030968289127559,,,,,0.3772264743520493
02_009,,-0.3301564420856712,,,,0.2984256376234682,,,,,0.3320551502644161
02_010,,-0.33201944324469257,,,,0.28920016459169273,,,,,0.2864343048996264
02_011,,-0.3522056713710295,0.3007876669645052,,,0.2950843705972801,,,,,0.304892488756621
02_012,,-0.3645527836065857,0.3111286947235138,,,0.28752365487477827,,,,,0.32103184488019054
02_013,,-0.35106497456931407,0.31984120033919533,,,0.28363586297280813,,,,,0.25250036076528926
02_014,,-0.3179533641328665,0.31394411069543393,,,0.26817043794185347,,,,,0.20769144586133256
02_015,,-0.3096151219906923,,,,0.2724963832195354,,,,,0.23244568279832095
02_016,,-0.29539610753234413,,,,0.2850237469430976,,,,,0.297909103778341
02_017,,,,,,0.2940156208209197,,,,,0.3637835715964975
02_018,,,,,,0.2687699961638638,,,,,0.30035672411370473
02_019,,,,,,0.276114796374427,,,,,0.2991386737540044
02_020,,,,,,0.2721191044519494,,,,,0.26436078422226694
02_021,,-0.28744335254304093,,,,0.2558343484467238,,,,,0.1929633320880767
02_022,,-0.2922934201060633,,,,0.24826538653441393,,,,,
02_023,,-0.2752396688110606,,,,0.24203796214690315,,,,,
02_024,,,,,,0.2523893173750044,,,,,0.20816843182453248
02_025,,,,,,0.23167511227486573,,,,,
02_026,,,,,,0.2311485478837019,,,,,
02_027,,,,,,0.21541852751521917,,-0.19578389055652487,,,
02_028,,,,,,0.21875849684158505,,,,,
02_029,,,,,,0.2279278553482953,,,,,
02_030,,,,,,0.22451078984889988,,,,,
02_031,,,,,,0.2140969840150927,,,,,
02_032,,,,,,0.20904795357909473,,,,,
02_033,,,,,,0.20294558535261395,,-0.18282799865014587,,,
02_034,,,,,,0.20619742388664014,,-0.20593964239142457,,,
02_035,,,,,,0.20950615324173885,,-0.223512563594489,,,
02_036,,,,,,0.19956845271406792,,-0.2268848885641964,,,
02_037,,,,,,0.19498432510782457,,-0.20015974279823817,,,
02_038,,,,,,0.1944274612450999,,,,,
02_039,,,,,,,,-0.22256679673426188,,,
02_040,,,,,,,,-0.2122702553741516,,,
02_041,,,,,,,,-0.24554796533826745,,,
02_042,,,,,,,,-0.2540540983212338,,,
02_043,-0.4221607763866356,,,,,0.2045450815441873,,-0.2498634449649597,,,
02_044,-0.4024819077366315,,,,,0.2078380589776192,,-0.2508673044315203,,,
02_045,,,,,,0.19984972991254654,,-0.25033201601165656,,,
02_046,,,,,,,,-0.247348013407518,,,
02_047,,,,,,0.20309704875134243,,-0.24286898712708965,,,
02_048,,,,,,0.21148410246444416,,-0.24753991749862117,,,
02_049,,,,,,0.2184746948006749,,-0.22894559221783614,,,
02_050,,,,,,0.23725022283634561,,-0.17678066907559584,,,
02_051,,,,,,0.24276188173329039,,-0.1800818802417694,,,
02_052,,,,,,0.23987801639714956,,-0.19405258327577837,,,
02_053,,,,,,0.2412804179824278,,-0.1999488190650556,,,
02_054,-0.37538504519464744,,,,,0.22557913339790386,,-0.2369064534732932,,,
02_055,-0.37481137132637554,,,,,0.23365790481783538,,-0.2251054972342876,,,
02_056,,,,,,0.24616120357252336,,-0.19558793710121197,,,
02_057,,,,,,0.241840208357816,,-0.1910680780977935,,,
02_058,-0.3857978652357869,,,,,0.22304917354176382,,,,,
02_059,-0.33946565991944316,,,,,0.22981279017082423,,,,,
02_060,,,,,,0.24147996405136152,,,,,
02_061,,,,,,0.26473279898570845,,,,,0.29914800542551173
02_062,,,,,,0.2648354688358388,,,,,
02_063,,,,,,0.25936627397570616,,,,,
02_064,,,,,,0.28137081697710875,,,,,
02_065,,,,,,0.29454724572095176,,,,,0.3836200459509218
02_066,,,,,,0.2810475745034415,,,,,0.3565991300892792
02_067,,,,,,0.29467494548597406,,,,,0.39322510137767713
02_068,,,,,,0.3068561243883629,,,,,0.42375955104532204
02_069,,,,,,0.3056288483539017,,,,,0.43894410651631954
02_070,,,,,,0.31482022965029133,,,,,0.4489303927065129
02_071,,,,,,0.32561655918940424,,,,,0.4896733051970061
02_072,,,,,,0.337649425239005,,,,,0.5263300458662771
02_073,,,,,,0.3366755280628055,,,,,0.5238248835455046
02_074,,,,,,0.3356941066263389,,,,,0.5412048326581531
02_075,,,,,,0.35222275366128636,,,,,0.5719377377600209
02_076,,,,,,0.35568140653385755,,,,,0.5661664404518161
02_077,,,,,,0.3404209705549513,,,,,
02_078,,,,,,0.32684039936449355,,,,,0.4386139838202907
02_079,,,,,,0.2996468869991641,,,,,
02_080,,,,,,0.28003776916930123,,,,,
02_081,,,,,,0.2615340858199265,,,,,
02_082,,,,,,0.2430186227401764,,,,,
02_083,,,,,,0.24540911883277727,,,,,
02_084,,,,,,0.2630807583195175,,,,,
02_085,,,,,,0.2695272132164714,,,,,
02_086,,,,,,0.2869234270251604,,,,,
02_087,-0.37871744653932055,,,,,0.2704878556240214,,,,,
02_088,,,,,,0.2607658310664005,,,,,
02_089,,,,,,0.2596014263236107,,,,,
02_090,,,,,,0.26250983981380355,,,,,
02_091,,,,,,0.27861718171887284,,,,,
02_092,,,,,,0.2664375869605525,,,,,
02_093,-0.3724030324178444,,,,,0.26055668796166614,,,,,
02_094,-0.3693547214171789,,,,,0.2613788929630595,,,,,
02_095,-0.3729435628633353,,,,,0.2568086255718641,,,,,
02_096,-0.3802948136947581,,,,,0.2589699398912972,,,,,
02_097,-0.3850107726031353,,,,,0.2628731440561767,,,,,
02_098,-0.38290583559872976,,,,,0.2619452882201865,,,,,
02_099,-0.3959378813887667,,,,,0.26683433076238927,,,,,
02_100,-0.40708218538156943,,,,,0.2730732181756506,,,,,
02_101,-0.4199014265587114,,,,,0.27588747421549675,,,,,
02_102,-0.4167171560193281,,,,,0.2779710488625955,,,,,
02_103,-0.47488267318041266,,,,,0.29205658330667866,,,,,
02_104,-0.5632370100206786,,,,,0.301668000855567,,,,,
02_105,-0.4745410208521639,,,,,0.2932071218182678,,,,,
02_106,-0.46828568676874016,,,,,0.297142843851618,,,,,
02_107,-0.5476371224566011,,,,,0.3042982541994952,,,,,
02_108,-0.629559202920402,,,,,0.3050638030435563,,,,,
02_109,-0.7107994238156979,,,,,0.3054772207743364,,,,,
02_110,-0.6650506197233728,,,,,0.30116471400100187,,,,,
02_111,-0.7548362757887833,,,,,0.3000551431219327,,,,,
02_112,-0.7315362912681681,,,,,0.2863940552574097,,,,,
02_113,-0.7084468473553158,,,,,0.28896007219179365,,,,,
02_114,-0.6660431111506228,,,,,0.28209719883519185,,,,,
02_115,-0.5879734485080278,,,,,0.28002493399080836,,,,,
02_116,-0.5489054823341981,,,,,0.28985969404871237,,,,,
02_117,-0.5094289057648654,,,,,0.2944220717771464,,,,,
02_118,-0.4309264683804913,,,,,0.282342086252675,,,,,
02_119,-0.47896143117893686,,,,,0.284238515810156,,,,,
02_120,-0.5085157629595822,,,,,0.27463431795963544,,,,,
02_121,-0.4384350778972406,,,,,0.27379290533763684,,,,,
02_122,-0.539376416124615,,,,,0.26070836891456406,,,,,
02_123,-0.612839735230566,,,,,0.2675019369914449,,,,,
02_124,-0.6591074506992768,,,,,0.2628716932249095,,,,,
02_125,-0.669851006358948,,,,,0.2642844771014155,,,,,
02_126,-0.6096255246933516,,,,,0.2372732707441112,,,,,
02_127,-0.5944760748875969,,,,,0.2284350226629685,,,,,
02_128,-0.5501439779802316,,,,,0.24629659704916473,,,,,
02_129,-0.5647157581549764,,,,,0.21957358673279265,,,,,
02_130,-0.49647665623818016,,,,,0.19223530830611754,,,,,
02_131,-0.4468536604240121,,,,,0.19783603442483794,,,,,
02_132,-0.46034864770335926,,,,,0.21083029486832827,,,,,
02_133,-0.5198623514825436,,,,,0.20802340457912938,,,,,
02_134,-0.510262113732898,,,,,0.2252189950437598,,,,,
02_135,-0.4298205496438058,,,,,0.23615893784027867,,,,,
02_136,-0.47952444829863894,,,,,0.24267209008104296,,,,,
02_137,-0.41589242189075815,,,,,0.2570864603940556,,,,,
02_138,-0.3924003825379945,,,,,0.26847084003745647,,,,,
02_139,-0.381530139820379,,,,,0.2658542952633808,,,,,
02_140,-0.36472367873795347,,,,,0.26107209065833514,,,,,
02_141,-0.36517577665394696,,,,,0.25282160750385313,,,,,
02_142,-0.3412285818288152,,,,,0.2515629653079708,,,,,
02_143,-0.35927049548506984,,,,,0.256962479529393,,,,,
02_144,-0.3496676073173503,,,,,0.25428453997729367,,,,,
02_145,-0.3282451127315929,,,,,0.2499578071590278,,,,,
