Tag,Distance_Center,Nationality_Italy,Education_University,Nationality_UK,Nationality_Spain,POI_Restaurants_Hotels,POI_Education,Intercept
01_001,,,,,,0.3134852848286607,,
01_002,,,,,,0.3053259921984314,,
01_003,,,,,,0.2681663251263159,,
01_004,,,,,,0.2492327338367258,,
01_005,,,,,,0.2997667581423972,,
01_006,,,,,,0.3012495417025684,,
01_007,,,,,,0.2747019412671567,,
01_008,,,,,,0.2509570246345221,,
01_009,,,,,,0.23794676869664882,,
01_010,,,,,,0.2516775592691256,,
01_011,,,,,,0.2423474677496595,,
01_012,,,,,,0.23967658256324942,,
01_013,,,,,,0.25197403539117097,,
01_014,,,,,,0.26353490350486175,,
01_015,,,,,,0.25018143595771647,,
01_016,,,,,,0.27015939404475225,,
01_017,,,,,,0.2658727626805731,,
01_018,,,,,,0.28647180144489376,,
01_019,,,,,,0.30086634198942735,,
01_020,,,,,,0.3177788314356901,,
01_021,,,,,,0.32282060920959954,,
01_022,,,,,,0.37258773308082516,,
01_023,,,,,,0.40370178262142287,,
01_025,,,,,,0.39867548490004884,,
01_026,,,,,,0.40925346379384936,,
01_027,,,,,,0.39089644128847456,,
01_028,,,,,,0.3551092306338445,,
01_029,,,,,,0.3546339470940864,,
01_030,,,,,,0.3749106868946116,,
01_031,,,,,,0.3903958946519042,,
01_032,,,,,,0.38844206155208816,,
01_033,,,,,,0.415366137430436,,0.4891192791250345
01_034,,,,,,0.4156621976287829,,0.4664080756205953
01_035,,,,,,0.41338778976169666,,0.4505015930896062
01_036,,,,,,0.3723664014960041,,0.414517945963773
01_037,,,,,,0.4219055603747462,,
01_038,,,,,,0.4208169685943402,,
01_039,,,,,,0.4206476748782556,,0.47755681323849947
01_040,,,,,,0.42293275534894864,,
01_041,,,,,,0.4270302941859844,,
01_042,,,,,,0.4271862334415652,,0.46469989945280293
01_043,,,,,,0.41871449476603617,,0.4567900274016579
01_044,,,,,,0.43519388089327493,,0.49137067458993666
01_045,,,,,,0.4338752982702466,,
01_046,,,,,,0.42477586228526076,,
01_047,,,,,,0.42491759925290346,,
01_048,,,,,,0.4336709533324079,,
01_049,,,,,,0.42563832418697,,
01_050,,,,,,0.4222060793650983,,
01_051,,,,,,0.42982141206661,,
01_052,,,,,,0.42694355820605756,,
01_053,,,,,,0.4326554383574637,,0.5235941165349507
01_054,,,,,,0.43362032944481843,,0.5091257693946927
01_055,,,,,,0.4270056836692774,,0.5362908925788102
02_001,,,,,,0.3958348422933848,,0.5269502139656761
02_002,,,,,,0.41024297882722777,,0.5809330077397309
02_003,,,,,,0.3867165730282478,,0.4977255054030587
02_004,,,,,,0.3937595460571707,,0.5202539351828039
02_005,,,,,,0.4125515331262432,,0.5780444648825701
02_006,,,,,,0.42842712479359796,,0.6182512374761072
02_007,,,,,,0.4246418247388965,,0.5936967563092594
02_008,,,,,,0.3998296379987859,,0.5276159345393915
02_009,,,,,,0.3836595551405316,,0.4789806994850261
02_010,,,,,,0.3728229486065224,,0.43253794528226547
02_011,,,,,-0.33117463775220374,0.37160822850274505,,0.42081094840548555
02_012,,,,,-0.3536465676897847,0.36613529205483086,,0.41520125604288366
02_013,,,0.329050681138443,,-0.37475336469432974,0.34526773266101374,,0.3242174671485077
02_014,,,,,-0.3388197850003595,0.3367268361088198,,0.3191124395638139
02_015,,,,,,0.3586065827415936,,0.4004512739192927
02_016,,,,,,0.38217211785258465,,0.4791771163307709
02_017,,,,,,0.40593951889623314,,0.5293770887368315
02_018,,,,,,0.40247822711096803,,0.47820379251472067
02_019,,,,,,0.3901541648557422,,0.47838273427445155
02_020,,,,,,0.37155110539748915,,0.4438894495718402
02_021,,,,,,0.339378576330254,,0.3634002456292194
02_022,,,0.43356430329260964,,-0.32255029080019204,0.3010606503525156,,0.26320087939827125
02_023,,,0.4344687534517604,,,0.31066699087850086,,0.3010211098966142
02_024,,,,,,0.3556141277758785,,0.3993989845985543
02_025,,,,,,0.3276327941065607,,0.3305223440066163
02_026,,,,,,0.3427302033803485,,0.3423388223445012
02_027,,,,,,0.3317160800824971,,0.2752757245042917
02_028,,,,,,0.3171083587823206,,0.2858425455012652
02_029,,,,,,0.30865354407647294,,0.2935273766824378
02_030,,,0.45376407219119946,,,0.28327823403733654,,0.24569070876595578
02_031,,,,,,0.2848990250119902,,0.2351444027077577
02_032,-0.4573298957662472,,,,,0.29554654768179633,,0.2235004190149896
02_033,-0.5228894287055031,,,,,0.30224411268573775,,
02_034,-0.4969902389206301,,,,,0.3203072029974516,,
02_035,-0.49582679398674623,,,,,0.33797540223094313,,
02_036,-0.557612064518705,,,,,0.3205170870442169,,
02_037,-0.5795258147445367,,,,,0.29534389073779016,,
02_038,-0.6152774992180585,,,,,0.27607818899186964,,
02_039,-0.5895754779797163,,,,,0.2887679475534332,,
02_040,-0.593954194053406,,,,,0.24773153246828553,,
02_041,-0.5780215949074751,,,,,0.28012985536522256,,
02_042,-0.6087297597732155,,,,,0.31198481143017237,,
02_043,-0.6351406511563228,,,,,0.3158881967557187,,
02_044,-0.6403950540803365,,,,,0.33478789280913257,,
02_045,-0.6271097658733,,,,,0.33478199625038024,,
02_046,-0.5930144309714844,,,,,0.3149391129648564,,
02_047,-0.5772081664889755,,,,,0.340086507252951,,
02_048,-0.6092638852613109,,,,,0.35097262861616585,,
02_049,-0.4693285233512502,,,,,0.35577796335196943,,0.28147867602993143
02_050,,,,,,0.3575202898797487,,0.3591921034455102
02_051,,,,,,0.37263378214202414,,0.37548623518118457
02_052,,,,,,0.3852575153983772,,0.3737976808680181
02_053,,,,,,0.38967241272521175,,0.37628338051021637
02_054,-0.5605436637420919,,,,,0.36221704126770593,,
02_055,-0.5751930759520272,,,,,0.33710950196660733,,
02_056,-0.4597901910687677,,,,,0.3854819347583651,,0.36375903771536156
02_057,-0.5271802478417147,,,,,0.3325443872436187,,
02_058,-0.5646379432545703,,,,,0.27633155791681374,,
02_059,-0.47514833542973023,,,,,0.26366622771360104,,
02_060,-0.502435707384509,,,,,0.29886096528512696,,
02_061,,,,,,0.4198468590939459,,0.4760030949338051
02_062,,,,,,0.3872495182211722,,0.41886426420470496
02_063,,,,,,0.3153637664827115,,
02_064,,,,,,0.36621683097636964,,
02_065,,,,,,0.40946324594566563,,0.5067000552640089
02_066,,,,,,0.4214912607420952,,0.5279164083221195
02_067,,,,,,0.42887995295202036,,0.5759081029144898
02_068,,,,,,0.4258423651232292,,0.5845856283993395
02_069,,,,,,0.4367478658283413,,0.5943887206041044
02_070,,,,,,0.4176649379040231,,0.5436857029098422
02_071,,,,,,0.4227466128298727,,0.5676634958360481
02_072,,,,,,0.422663331165232,,0.5789854208702307
02_073,,,,,,0.4374292729299314,,0.6295228257443224
02_074,,,,,,0.4338670236675446,,0.6146686318168242
02_075,,,,,,0.4267730833415335,,0.5592113822120325
02_076,,,,,,0.41993929597600427,,0.5709206327598878
02_077,,,,,,0.3762239358258813,,
02_078,,,,,,0.3597249444525293,,
02_079,,,,,,0.3140657423001481,,
02_080,,,,,,0.30887129042287353,,
02_081,,,,,,0.27370600008170515,,
02_082,,,,,,0.25871072902999914,,
02_083,,,,,,0.2578779080228946,,
02_084,,,,,,0.2900312868648591,,
02_085,-0.4455196047528185,,,,,0.27598473445481725,,
02_086,-0.5372816745621174,,,,,0.28022045123420947,,
02_087,-0.4604572376265398,,,,,0.2914164978568671,,
02_088,,,,,,0.29034653679098144,,
02_089,,,,,,0.29723222631848056,,
02_090,,,,,,0.29606391725731174,,
02_091,,,,,,0.306547063046031,,
02_092,,,,,,0.29195913681439517,,
02_093,,,,,,0.2808802800371407,,
02_094,,,,,,0.26650179678135344,,
02_095,,,,,,0.25811733080756727,,
02_096,,,,,,0.2714509252884111,,
02_097,-0.42292521268147765,,,,,0.26570022241881686,,
02_098,-0.4344186309056136,,,,,0.28355796253474413,,
02_099,-0.45760296551842256,,,,,0.274407923647095,,
02_100,-0.478612016838699,,,,,0.26765111456076796,,
02_101,-0.5072800011726,,,,,0.2759425102437038,,
02_102,-0.5130457791732121,,,,,0.28408579147143165,,
02_103,-0.5842934326641925,,,,,0.28186676672766947,,
02_104,-0.6633084737815967,,,,,0.29368752851051094,,
02_105,-0.5956205228440321,,,,,0.28799561809619073,,
02_106,-0.6178359852190616,,,,,0.2833678543489291,,
02_107,-0.6819691355342157,,,,,0.28938110481944346,,
02_108,-0.7462973968727172,,,,,0.2977696569111209,,
02_109,-0.8000747021893806,,,,,0.2949897755617866,,
02_110,-0.7229533536016277,,,,,0.2926922943998109,,
02_111,-0.8019329923032005,,-0.3252582357385918,,,0.26668399222549755,,
02_112,-0.7699051702305385,,-0.33893909198182376,,,0.23616513247142443,,
02_113,-0.7257274056405288,,-0.3460376156941256,,,0.2593392476571992,,
02_114,-0.6517637448209985,,,,,0.2575498354433538,,
02_115,-0.5976374364461886,,,,,0.2619797875545846,,
02_116,-0.6049854409420045,,,,,0.27399334845562395,,
02_117,-0.6019858921695063,,,,,0.2794208297249437,,
02_118,-0.5230897030721742,,,,,0.26502081398461147,,
02_119,-0.5617613606935639,,,,,0.26581665399906534,,
02_120,-0.5572173511999912,,,,,0.25500867675522804,,
02_121,-0.5198838139888182,,,,,0.2510540553507414,,
02_122,-0.5477531929964976,,-0.3362434240896779,,,0.24032473535036494,,
02_123,-0.592746038577922,,-0.34016062657746826,,,0.2436713268667352,,
02_124,-0.6560709461606504,,-0.35007698532276976,,,0.22084822615017896,,
02_125,-0.7054214625327585,,-0.34484964032848114,,,0.2108322316549647,,
02_126,-0.6309227794051608,,-0.3459575094567041,,,0.18993471230435768,,
02_127,-0.5832592823091639,,-0.3514586041993614,,,0.19241771051440668,,
02_128,-0.536185391627893,,-0.3510233816308948,,,0.2234458945282242,,
02_129,-0.541411563630392,,-0.35766383092904414,,,0.19582680729787696,,
02_130,-0.514194974165816,,-0.35049629160489865,,,,,
02_131,-0.46076287353105366,,-0.358793648260581,,,,,
02_132,-0.456600248585356,,-0.358590478551391,,,0.2041074107337215,,
02_133,-0.5053542075822807,,-0.36213537275515245,,,,,
02_134,-0.49777904125590844,,-0.36394618782798854,,,0.20843527232637377,,
02_135,-0.4616535698956754,,-0.3441584192232248,,,0.21921989268087225,,
02_136,-0.49801523193141295,,-0.3477572269731684,,,0.2222695987660693,,
02_137,-0.47616851136869426,,,,,0.23636131565848206,,
