Barrio,Sin estudios,Primaria,Secundaria,Bachillerato,Universidad
1,902,12711,9672,7501,10042  
2,292,2538,2687,3421,5734  
3,557,3108,3319,2859,3763  
4,431,3663,3511,4544,8172  
5,487,3722,5163,7635,10733  
6,1006,6701,8891,12172,16581  
7,428,3174,4995,9974,19420  
8,512,3523,5483,10105,17491  
9,766,6237,8718,13982,21367  
10,785,5408,6689,8770,12053  
11,1014,8633,8263,7936,8972  
12,57,420,323,118,53  
13,976,7535,7218,6045,3755  
14,290,1728,2017,2324,2747  
15,359,2844,3104,3379,4187  
16,524,3453,4065,4256,3726  
17,743,4743,5034,5199,5280  
18,996,6403,7674,9188,11452  
19,659,4512,6479,11147,16922  
20,502,2924,3679,5658,7871  
21,46,572,1166,2803,5155  
22,63,356,601,1087,1554  
23,205,1485,2482,5537,10051  
24,59,674,1342,4112,7033  
25,160,1332,2511,6464,10535  
26,229,2300,4492,11843,20462  
27,208,1566,3264,7360,12267  
28,284,1543,2434,3666,5207  
29,184,1044,1407,1753,1882  
30,194,1376,2002,3188,4559  
31,889,5582,6907,11139,19586  
32,554,3632,5347,8310,11996  
33,672,3508,4872,6284,7096  
34,303,1527,1913,1986,2046  
35,826,5144,7110,8963,9162  
36,178,1168,1807,2258,2425  
37,1573,7437,8526,5786,3367  
38,481,2509,2934,2346,1652  
39,358,1362,1608,1459,1190  
40,297,895,1079,1139,1090  
41,139,883,1077,1347,1498  
42,22,94,131,116,150  
43,1018,5035,5511,6072,5239  
44,880,4667,5818,5831,4821  
45,1145,5578,5889,5224,3595  
46,819,3643,3709,3077,1833  
47,108,637,610,336,170  
48,632,3149,3663,3268,2292  
49,309,1839,1923,1146,687  
50,710,4356,4337,2353,1154  
51,631,3192,3328,2140,1178  
52,1480,6480,6929,4906,2663  
53,393,1985,2123,1043,458  
54,100,843,729,334,198  
55,350,3216,2860,1388,559  
56,63,405,377,141,95  
57,343,2848,2637,1487,774  
58,99,738,759,305,121  
59,405,2985,3245,2076,1307  
60,1349,9439,12180,13528,11784  
61,739,5068,6474,6872,5845  
62,441,2265,3006,3386,2953  
63,527,3603,4731,5404,4840  
64,861,5883,7666,9072,9997  
65,582,4259,5778,6333,6115  
66,285,2112,2668,3450,4530  
67,51,506,985,1941,4107  
68,742,4690,5962,7238,9122  
69,257,1428,1955,2700,4363  
70,1093,6297,5792,3652,2157  
71,563,3617,4538,4490,4088  
72,921,5385,6193,5655,4275  
73,1286,6856,7393,5728,3306  
