Barrio,España,Italia,Francia,Reino Unido,Rumanía,Alemania,Rusia,Ucrania,Portugal,Países Bajos,Polonia,Bulgaria,Suecia,Bélgica,Irlanda,Grecia,Otros Europa,Marruecos,Argelia,Senegal,Otros África,Bolivia,Colombia,Perú,Ecuador,Honduras,Brasil,Venezuela,Argentina,República Dominicana,Estados Unidos,México,Paraguay,Chile,Cuba,Uruguay,el Salvador,Otros América,China,Pakistán,Filipinas,India,Bangladesh,Georgia,Armenia,Japón,Nepal,Otros Asia,Oceanía
1,24168,1606,767,456,300,372,194,125,214,158,122,90,166,98,49,71,440,1340,173,51,251,310,293,134,259,110,243,176,285,204,221,182,103,176,72,37,40,121,328,4790,4059,1041,2843,62,44,40,147,412,33
2,8726,1111,566,353,147,285,125,62,119,139,77,42,154,73,66,42,324,340,52,42,131,82,155,70,48,67,137,103,191,36,189,133,35,118,33,22,18,69,140,717,262,170,100,29,9,40,14,234,34
3,9855,946,282,219,87,199,122,107,104,90,89,65,109,40,37,24,332,323,53,17,51,69,110,55,61,19,169,104,120,19,101,93,35,79,46,29,11,47,65,413,18,76,15,9,8,11,21,111,32
4,13382,1481,740,574,174,381,176,68,178,205,89,38,122,80,83,64,420,664,102,71,124,97,217,97,94,32,201,131,238,150,252,194,37,118,23,49,27,119,378,391,279,137,45,46,8,69,6,217,47
5,25023,996,529,192,135,212,145,86,131,84,67,48,45,43,36,26,218,163,25,31,91,128,193,167,120,96,200,193,179,58,100,166,40,92,55,43,18,76,1278,128,39,60,35,32,10,25,23,140,9
6,41707,1194,465,232,207,197,220,129,226,95,119,39,72,35,44,38,294,287,33,35,85,346,432,393,279,164,285,376,259,146,138,263,194,157,86,61,31,120,1154,169,92,131,34,74,74,69,105,246,13
7,34724,1416,1024,457,101,487,243,92,189,200,101,38,114,103,86,51,386,107,42,13,103,134,292,185,111,76,280,221,216,57,367,272,68,127,57,42,26,141,687,56,69,57,28,26,19,90,26,374,49
8,33628,1170,628,357,140,357,181,92,173,127,95,42,84,57,51,48,341,123,18,12,71,161,350,227,120,82,334,301,245,77,267,253,95,171,74,36,40,177,673,132,331,88,16,33,9,99,29,265,24
9,47781,1289,518,235,246,254,224,113,228,102,81,30,58,57,44,47,356,223,28,18,96,228,431,420,280,135,451,344,298,119,176,245,151,192,104,49,32,170,1258,192,331,90,55,49,42,113,4,304,16
10,30210,1070,467,271,121,252,115,67,154,72,77,44,58,45,55,29,228,182,19,15,62,187,220,171,135,71,206,188,171,141,142,158,66,107,52,37,23,88,784,482,647,156,195,29,24,55,64,172,17
