Sexo;Sección;Edad (grupos quinquenales);Total
Ambos Sexos;0801901001;Total;1.255
Ambos Sexos;0801901002;Total;1.582
Ambos Sexos;0801901003;Total;3.433
Ambos Sexos;0801901004;Total;2.889
Ambos Sexos;0801901005;Total;2.486
Ambos Sexos;0801901006;Total;1.656
Ambos Sexos;0801901007;Total;2.082
Ambos Sexos;0801901008;Total;3.300
Ambos Sexos;0801901009;Total;2.159
Ambos Sexos;0801901010;Total;2.490
Ambos Sexos;0801901011;Total;3.218
Ambos Sexos;0801901012;Total;1.895
Ambos Sexos;0801901013;Total;1.398
Ambos Sexos;0801901014;Total;1.992
Ambos Sexos;0801901015;Total;2.346
Ambos Sexos;0801901016;Total;2.202
Ambos Sexos;0801901017;Total;2.603
Ambos Sexos;0801901018;Total;1.650
Ambos Sexos;0801901019;Total;2.850
Ambos Sexos;0801901020;Total;2.113
Ambos Sexos;0801901021;Total;2.009
Ambos Sexos;0801901022;Total;1.254
Ambos Sexos;0801901023;Total;1.964
Ambos Sexos;0801901025;Total;1.247
Ambos Sexos;0801901026;Total;2.622
Ambos Sexos;0801901027;Total;1.645
Ambos Sexos;0801901028;Total;1.853
Ambos Sexos;0801901029;Total;1.396
Ambos Sexos;0801901030;Total;2.475
Ambos Sexos;0801901031;Total;1.606
Ambos Sexos;0801901032;Total;1.757
Ambos Sexos;0801901033;Total;1.132
Ambos Sexos;0801901034;Total;962
Ambos Sexos;0801901035;Total;1.321
Ambos Sexos;0801901036;Total;1.194
Ambos Sexos;0801901037;Total;1.478
Ambos Sexos;0801901038;Total;1.473
Ambos Sexos;0801901039;Total;1.299
Ambos Sexos;0801901040;Total;1.095
Ambos Sexos;0801901041;Total;1.496
Ambos Sexos;0801901042;Total;1.789
Ambos Sexos;0801901043;Total;1.529
Ambos Sexos;0801901044;Total;1.499
Ambos Sexos;0801901045;Total;1.957
Ambos Sexos;0801901046;Total;1.742
Ambos Sexos;0801901047;Total;1.797
Ambos Sexos;0801901048;Total;2.139
Ambos Sexos;0801901049;Total;1.530
Ambos Sexos;0801901050;Total;1.598
Ambos Sexos;0801901051;Total;1.852
Ambos Sexos;0801901052;Total;2.563
Ambos Sexos;0801901053;Total;1.879
Ambos Sexos;0801901054;Total;1.332
Ambos Sexos;0801901055;Total;1.304
Ambos Sexos;0801902001;Total;1.282
Ambos Sexos;0801902002;Total;2.326
Ambos Sexos;0801902003;Total;1.288
Ambos Sexos;0801902004;Total;1.500
Ambos Sexos;0801902005;Total;2.082
Ambos Sexos;0801902006;Total;1.632
Ambos Sexos;0801902007;Total;1.262
Ambos Sexos;0801902008;Total;1.880
Ambos Sexos;0801902009;Total;1.771
Ambos Sexos;0801902010;Total;1.201
Ambos Sexos;0801902011;Total;1.100
Ambos Sexos;0801902012;Total;1.584
Ambos Sexos;0801902013;Total;1.133
Ambos Sexos;0801902014;Total;1.335
Ambos Sexos;0801902015;Total;1.552
Ambos Sexos;0801902016;Total;1.905
Ambos Sexos;0801902017;Total;1.993
Ambos Sexos;0801902018;Total;1.868
Ambos Sexos;0801902019;Total;1.922
Ambos Sexos;0801902020;Total;1.400
Ambos Sexos;0801902021;Total;1.471
Ambos Sexos;0801902022;Total;1.279
Ambos Sexos;0801902023;Total;1.117
Ambos Sexos;0801902024;Total;1.090
Ambos Sexos;0801902025;Total;1.191
Ambos Sexos;0801902026;Total;2.144
Ambos Sexos;0801902027;Total;1.946
Ambos Sexos;0801902028;Total;2.051
Ambos Sexos;0801902029;Total;1.188
Ambos Sexos;0801902030;Total;1.320
Ambos Sexos;0801902031;Total;1.053
Ambos Sexos;0801902032;Total;1.217
Ambos Sexos;0801902033;Total;1.153
Ambos Sexos;0801902034;Total;1.217
Ambos Sexos;0801902035;Total;1.315
