"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Import_Euros"
2017,1,"Ciutat Vella",1,"el Raval",1,10614
2017,1,"Ciutat Vella",1,"el Raval",2,8155
2017,1,"Ciutat Vella",1,"el Raval",3,8179
2017,1,"Ciutat Vella",1,"el Raval",4,10250
2017,1,"Ciutat Vella",1,"el Raval",5,8159
2017,1,"Ciutat Vella",1,"el Raval",6,9543
2017,1,"Ciutat Vella",1,"el Raval",7,8948
2017,1,"Ciutat Vella",1,"el Raval",8,6991
2017,1,"Ciutat Vella",1,"el Raval",9,8450
2017,1,"Ciutat Vella",1,"el Raval",10,7697
2017,1,"Ciutat Vella",1,"el Raval",11,7190
2017,1,"Ciutat Vella",1,"el Raval",12,9296
2017,1,"Ciutat Vella",1,"el Raval",13,9985
2017,1,"Ciutat Vella",1,"el Raval",14,9222
2017,1,"Ciutat Vella",1,"el Raval",15,8992
2017,1,"Ciutat Vella",1,"el Raval",16,8594
2017,1,"Ciutat Vella",1,"el Raval",17,8375
2017,1,"Ciutat Vella",1,"el Raval",18,8730
2017,1,"Ciutat Vella",1,"el Raval",19,8434
2017,1,"Ciutat Vella",1,"el Raval",20,14076
2017,1,"Ciutat Vella",1,"el Raval",21,13108
2017,1,"Ciutat Vella",2,"el Gòtic",22,15707
2017,1,"Ciutat Vella",2,"el Gòtic",23,13676
2017,1,"Ciutat Vella",2,"el Gòtic",25,12871
2017,1,"Ciutat Vella",2,"el Gòtic",26,11523
2017,1,"Ciutat Vella",2,"el Gòtic",27,12440
2017,1,"Ciutat Vella",2,"el Gòtic",28,11457
2017,1,"Ciutat Vella",2,"el Gòtic",29,10519
2017,1,"Ciutat Vella",2,"el Gòtic",30,10307
2017,1,"Ciutat Vella",2,"el Gòtic",31,11019
2017,1,"Ciutat Vella",3,"la Barceloneta",32,13273
2017,1,"Ciutat Vella",3,"la Barceloneta",33,10950
2017,1,"Ciutat Vella",3,"la Barceloneta",34,11195
2017,1,"Ciutat Vella",3,"la Barceloneta",35,10622
2017,1,"Ciutat Vella",3,"la Barceloneta",36,11623
2017,1,"Ciutat Vella",3,"la Barceloneta",37,11289
2017,1,"Ciutat Vella",3,"la Barceloneta",38,10227
2017,1,"Ciutat Vella",3,"la Barceloneta",39,12013
2017,1,"Ciutat Vella",3,"la Barceloneta",40,12215
2017,1,"Ciutat Vella",3,"la Barceloneta",41,10839
2017,1,"Ciutat Vella",3,"la Barceloneta",42,12209
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,15445
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,14540
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,12453
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,11485
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,11475
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,9599
